destination,1781,1782,1785,1786,1787,1788,1789,1790,1791,Facade,for_geocoding,lat,lon
Saint-Helen's,,,,,1,,,,,Sud,Saint-Helen's (United Kingdom),53.93943045,-1.769219838
Saltfleet,,,,,,1,,,1,Est,Saltfleet (United Kingdom),53.4205583,0.1862115
Sandgate,4,,,2,1,,,,,Sud,Sandgate (United Kingdom),51.0743788,1.1487129
Scarborough,,1,,2,,,,,,Est,Scarborough (United Kingdom),54.2820009,-0.4011868
Shoreham,,2,1,,1,1,4,,,Sud,Shoreham (United Kingdom),50.8322307,-0.2746717
Southampton,,,1,2,3,,,,,Sud,Southampton (United Kingdom),50.9025349,-1.404189
Southend,,,,,,,1,,,Est,Southend (United Kingdom),51.6020246,-0.9153487
Southwold,,2,,,,,,2,,Est,Southwold (United Kingdom),52.3266586,1.6794539
Stockton,,,1,1,1,1,,,,Est,Stockton (United Kingdom),52.5926995,-2.4004926
Stroud,1,4,,,,,,,,Ouest,Stroud (United Kingdom),51.745424,-2.2198605
Sunderland,,,6,3,,,,,,Est,Sunderland (United Kingdom),54.9058512,-1.3828727
Swansea,,,,,,,1,,,Ouest,Swansea (United Kingdom),51.6195955,-3.9459248
Wateford,,,,,1,,,,,Ouest,Wateford (United Kingdom),50.28578,-0.3882433
Wells,,1,,,,,,,,Est,Wells (United Kingdom),51.2094511,-2.6451203
West-Mersey,,,1,2,1,,,,,Est,West-Mersey (United Kingdom),51.7876303,0.9044434
Weymouth,,,1,1,,,,,,Sud,Weymouth (United Kingdom),50.6096257,-2.4543424
Whistable,10,2,32,52,32,14,76,55,21,Est,Whistable (United Kingdom),51.3564503,1.0242116
Whitby,,,,1,,,,,,Est,Whitby (United Kingdom),54.4874141,-0.6155111
Whitehaven,,,,,,,,1,,Ouest,Whitehaven (United Kingdom),54.5474199,-3.5885335
Wick,,,,,3,,,,,Est,Wick (United Kingdom),58.4425516,-3.0915827
Winchelsea,,,,,,1,,,,Sud,Winchelsea (United Kingdom),50.9243896,0.7086362
Winchester,,,,1,,,1,,,Sud,Winchester (United Kingdom),51.0612766,-1.3131692
Wivenhoe,,,,1,,,11,2,22,Est,Wivenhoe (United Kingdom),51.8674915,0.9627477
Woodbridge,2,,,2,4,1,,4,,Est,Woodbridge (United Kingdom),55.591634,-2.0807858
Yarmouth,1,,,1,2,,6,11,3,Est,Yarmouth (United Kingdom),50.7055054,-1.4986357
York,,,,,,,3,,,Est,York (United Kingdom),53.9590555,-1.0815361
