homeport_fr,homeport_en,state_category,homeport_state_fr,homeport_state_en,tonnage,nb_pointcalls
Saint-Martin-de-Ré,Saint-Martin-de-Ré,France,France,France,280.0,4
Oldenbourg,Oldenburg,étranger,Duché d'Oldenbourg,Duchy of Oldenburg,660.0,11
Les Sables-d'Olonne,Les Sables-d'Olonne,France,France,France,75.0,1
Saint-Gilles-sur-Vie,Saint-Gilles-sur-Vie,France,France,France,126.0,2
Banff,Banff,Grande Bretagne,Grande-Bretagne,Great Britain,60.0,1
île-de-Bréhat,île-de-Bréhat,France,France,France,145.0,3
Stettin,Szczecin,étranger,Prusse,Prussia,400.0,2
Papenbourg,Papenburg,étranger,Evêché de Münster,Prince-Bishopric of Münster,340.0,2
Corton,Corton,Grande Bretagne,Grande-Bretagne,Great Britain,168.0,14
Sète,Sète,France,France,France,240.0,1
Veere,Veere,étranger,Provinces-Unies,United Provinces,2035.0,41
Saint-Valery-sur-Somme,Saint-Valery-sur-Somme,France,France,France,362.0,4
Greenock,Greenock,Grande Bretagne,Grande-Bretagne,Great Britain,902.0,9
Great Yarmouth,Great Yarmouth,Grande Bretagne,Grande-Bretagne,Great Britain,12.0,1
Saint-Servant,Saint-Servant,France,France,France,110.0,1
Bordeaux,Bordeaux,France,France,France,654.0,7
Ouessant,Ouessant,France,France,France,218.0,4
Shoreham,Shoreham,Grande Bretagne,Grande-Bretagne,Great Britain,48.0,4
Nøtterøy,Nøtterøy,étranger,Danemark,Denmark,375.0,3
Molde,Molde,étranger,Danemark,Denmark,100.0,1
Bourgneuf,Bourgneuf,France,France,France,128.0,2
Tollesbury,Tollesbury,Grande Bretagne,Grande-Bretagne,Great Britain,12.0,1
Portsmouth,Portsmouth,Grande Bretagne,Grande-Bretagne,Great Britain,222.0,3
Erquy,Erquy,France,France,France,176.0,3
Boston,Boston,Grande Bretagne,Grande-Bretagne,Great Britain,228.0,6
île de Ré,île de Ré,France,France,France,205.0,3
Cognac,Cognac,France,France,France,211.0,2
Baltimore,Baltimore,étranger,Etats-Unis d'Amérique,United States,100.0,1
Larvik,Larvik,étranger,Danemark,Denmark,70.0,1
Plouharnel,Plouharnel,France,France,France,110.0,2
Vatteville,Vatteville,France,France,France,132.0,1
Vannes,Vannes,France,France,France,481.0,5
Limerick,Limerick,Grande Bretagne,Grande-Bretagne,Great Britain,200.0,2
Rhode Island,Rhode Island,étranger,Etats-Unis d'Amérique,United States,160.0,1
Charleston,Charleston,étranger,Etats-Unis d'Amérique,United States,100.0,1
Blakeney,Blakeney,Grande Bretagne,Grande-Bretagne,Great Britain,344.0,3
Dublin,Dublin,Grande Bretagne,Grande-Bretagne,Great Britain,160.0,1
Newry,Newry,Grande Bretagne,Grande-Bretagne,Great Britain,180.0,1
Sogn,Sogn,étranger,Danemark,Denmark,355.0,2
Cardigan,Cardigan,Grande Bretagne,Grande-Bretagne,Great Britain,90.0,1
Mandal,Mandal,étranger,Danemark,Denmark,270.0,2
Exeter,Exeter,Grande Bretagne,Grande-Bretagne,Great Britain,60.0,1
Roscoff,Roscoff,France,France,France,96.0,1
Jemgum,Jemgum,étranger,Prusse,Prussia,120.0,1
Nijhuixum,Nijhuixum,étranger,Provinces-Unies,United Provinces,110.0,1
Workum,Workum,étranger,Provinces-Unies,United Provinces,132.0,1
Quiberon,Quiberon,France,France,France,90.0,1
Arzon,Arzon,France,France,France,90.0,1
Norden,Norden,étranger,Prusse,Prussia,50.0,1
Christiania / Oslo,Oslo,étranger,Danemark,Denmark,570.0,4
Tabago / Tobago,Tobago,France,France,France,40.0,1
Durgerdam,Durgerdam,étranger,Provinces-Unies,United Provinces,110.0,1
Delfzijl,Delfzijl,étranger,Provinces-Unies,United Provinces,200.0,2
Portsoy,Portsoy,Grande Bretagne,Grande-Bretagne,Great Britain,74.0,1
Kirkcudbright,Kirkcudbright,Grande Bretagne,Grande-Bretagne,Great Britain,100.0,1
île d'Aix,île d'Aix,France,France,France,110.0,1
Southwold,Southwold,Grande Bretagne,Grande-Bretagne,Great Britain,212.0,2
Ilfracombe,Ilfracombe,Grande Bretagne,Grande-Bretagne,Great Britain,36.0,1
Quimper,Quimper,France,France,France,95.0,1
Swansea,Swansea,Grande Bretagne,Grande-Bretagne,Great Britain,140.0,1
Moss,Moss,étranger,Danemark,Denmark,295.0,2
Providence,Providence,étranger,Etats-Unis d'Amérique,United States,120.0,1
Glasgow,Glasgow,Grande Bretagne,Grande-Bretagne,Great Britain,1060.0,8
Newhaven,Newhaven,Grande Bretagne,Grande-Bretagne,Great Britain,150.0,2
Petersburg,Petersburg,étranger,Etats-Unis d'Amérique,United States,150.0,1
Cowes,Cowes,Grande Bretagne,Grande-Bretagne,Great Britain,12.0,1
Cork,Cork,Grande Bretagne,Grande-Bretagne,Great Britain,80.0,2
Dieppe,Dieppe,France,France,France,332.0,3
Quillebeuf,Quillebeuf,France,France,France,96.0,1
Carron,Carron,Grande Bretagne,Grande-Bretagne,Great Britain,100.0,1
Pornic,Pornic,France,France,France,50.0,1
Belle-Île-en-Mer,Belle-Île-en-Mer,France,France,France,140.0,2
Winchelsea,Winchelsea,Grande Bretagne,Grande-Bretagne,Great Britain,12.0,1
Hartlepool,Hartlepool,Grande Bretagne,Grande-Bretagne,Great Britain,36.0,1
Southend,Southend,Grande Bretagne,Grande-Bretagne,Great Britain,12.0,1
Aldeburgh,Aldeburgh,Grande Bretagne,Grande-Bretagne,Great Britain,60.0,1
Kragerø,Kragerø,étranger,Danemark,Denmark,80.0,1
Loix,Loix,France,France,France,76.0,1
Le Légué,Le Légué,France,France,France,98.0,1
Gravesend,Gravesend,Grande Bretagne,Grande-Bretagne,Great Britain,24.0,2
Dumbarton,Dumbarton,Grande Bretagne,Grande-Bretagne,Great Britain,85.0,1
Anstruther,Anstruther,Grande Bretagne,Grande-Bretagne,Great Britain,110.0,1
Whitby,Whitby,Grande Bretagne,Grande-Bretagne,Great Britain,60.0,1
Diksmude,Diksmuide,étranger,Autriche,Austria,36.0,1
Rothesay,Rothesay,Grande Bretagne,Grande-Bretagne,Great Britain,86.0,1
Camaret,Camaret,France,France,France,66.0,1
Lydd,Lydd,Grande Bretagne,Grande-Bretagne,Great Britain,108.0,9
Brême,Bremen,étranger,Brême,Bremen,150.0,1
Vlaardingen,Vlaardingen,étranger,Provinces-Unies,United Provinces,24.0,2
Broadstairs,Broadstairs,Grande Bretagne,Grande-Bretagne,Great Britain,24.0,2
Aber-Wrac'h,Aber-Wrac'h,France,France,France,62.0,1
Savannah,Savannah,étranger,Etats-Unis d'Amérique,United States,120.0,1
Philadelphie,Philadelphia,étranger,Etats-Unis d'Amérique,United States,12.0,1
Arundel,Arundel,Grande Bretagne,Grande-Bretagne,Great Britain,70.0,1
Isle-Saint-Georges,Isle-Saint-Georges,France,France,France,40.0,1
Juist,Juist,étranger,Prusse,Prussia,120.0,1
Wemyss,Wemyss,Grande Bretagne,Grande-Bretagne,Great Britain,60.0,1
Penzance,Penzance,Grande Bretagne,Grande-Bretagne,Great Britain,130.0,1
Bilbao,Bilbao,étranger,Espagne,Spain,70.0,1
Ayr,Ayr,Grande Bretagne,Grande-Bretagne,Great Britain,80.0,1
Ramsgate,Ramsgate,Grande Bretagne,Grande-Bretagne,Great Britain,20.0,1
Penerf,Penerf,France,France,France,90.0,1
Arum,Arum,étranger,Provinces-Unies,United Provinces,130.0,1
Cromer,Cromer,Grande Bretagne,Grande-Bretagne,Great Britain,100.0,1
Bristol,Bristol,Grande Bretagne,Grande-Bretagne,Great Britain,35.0,1
