produit_smogglé,unité,quantité_smogglée,classification_toflit,nom_toflit,nombre_observations_avec_unité_exacte_toutes_custom_regions,nombre_observations_versAngleterre,nombre_observations_Flandre_Angleterre,fourchette_prix_toflit,années_prix,estimation_prix1_moyenne,valeur_smogglé1,estimation_prix2_moyenne,valeur_smogglé2,Notes1,Notes2,Notes3
perses,livres poids,1800,product_simplification,toile de coton fine,1,,,,1789,12,21600,,,Produit non present dans toflit,Percale = coton fin > toile de coton fine (import),
nankins,livres poids,4780,product_simplification,Nankin,8,0,0,6,"1788, 1789",6,28680,,,Toutes de Marseille vers les colonies americaines,,
nankins,pièces,400,product_simplification,Nankin,22,0,0,7-10,"1780, 1788, 1789","7,8",3120,,,Toutes de facade atlantique vers amerique,,
mouchoirs de Bandannoes,livres poids,637,product_simplification,"mouchoirs imprimés, mouchoirs de soie, mouchoirs de coton, mouchoirs de coton et fil",15,0,0,"7,5-55","1780, 1788, 1789","31,61","20135,57",,,Produit non present dans toflit,"Bandanoes = coton imprime sur fonds teinte ou taffetas > moyenne mouchoirs imprimés, mouchoirs de soie, mouchoirs de coton, mouchoirs de coton et fil",
Bandanoes,livres poids,965,product_simplification,"nankin, taffetas",11,0,0,6-55,"1788, 1789",19,18335,,,Produit non present dans toflit,Bandanoes = coton imprime sur fonds teinte ou taffetas > moyenne nankin + taffetas,
Bandanoes,pièces,500,product_simplification,Nankin,22,0,0,7-10,"1780, 1788, 1789","7,8",3900,,,Produit non present dans toflit,Bandanoes = coton imprime sur fonds teinte ou taffetas > moyenne nankin + taffetas,
Dimity (?),livres poids,100,product_simplification,toile de coton peinte,27,0,0,8-10,"1788, 1789","9,9",990,,,Produit non present dans toflit,Silvia > cherche palampore ; palampore = toile coton peinte > toile de coton peinte,
crêpes,livres poids,40,product_simplification,crepe de laine,1,0,0,"5,5",1780,"5,5",220,,,"Produit trouvé dans toflit : objets manufacturés gaze crêpe et mouchoirs de soie, unité manquante","tissu crepe = fibre non spécifiée, seule observation dans toflit 1780s avec « crepe » = crepe de laine > crepe de laine",
Soie des Indes,livres poids,120,product_simplification,taffetas,3,0,0,55,1788,55,6600,,,Produit non present dans toflit,Aucun prix en livres poids pour etoffes des indes (import et export) > application prix taffetas,
Jalap,livres poids,4025,product_simplification,jalap,10,0,0,2-3,"1788, 1789","2,2",8855,,,Toutes vers ameriques,,
Taffetas,livres poids,630,product_simplification,taffetas,3,0,0,55,1788,55,34650,,,Toutes Bordeaux vers colonies americaines,,
cambray,livres poids,2300,product_simplification,toile de coton,19,1,0,1-15,"1782, 1783, 1789","9,3",21390,,,Produit non present dans toflit,Chambray = tissu de pur coton > toile de coton,
Gauzes,livres poids,1000,product_simplification,"gaze, gaze de soie",79,4,0,43-165,"1782-1785, 1788, 1789",80,80000,68,68000,"Estimation 2 = gaze tout type, 113 observations",,
mercerie fine,livres poids,2100,product_simplification,"aiguilles et épingles de mercerie fine, épingles de mercerie fine, aiguilles de mercerie fine",6,0,0,"0,875-7",1789,"2,7",5670,"2,1",4410,"Estimation 2 = exclusion prix extremes (0,875, 7)",,
sené,livres poids,1360,product_simplification,séné,19,0,0,"0,1-6","1780, 1788, 1789","2,2",2992,"2,079","2827,44","Estimation 2= exclusion prix extremes (0,1, 6)",,
pots de vess /  potjevleesch???,bouteilles,800,,,,,,,,,0,,0,Produit non present dans toflit,,
voiture,nombre,1,product_simplification,"voitures, voitures complètes, voitures carriole",14,2,0,450-3200,1787-1789,1639,1639,,0,,,
Chocolat,livres poids,80,product_simplification,chocolat,49,3,0,"0,78-4","1780, 1782, 1787-1789","2,14","171,2",2,160,"Estimation 2 = prix envois Angleterre (Bordeaux, Saint-Malo 1782, 1789)",,
cartes à jouer,livres poids,60,product_simplification,cartes à jouer,1,0,0,2,1780,2,120,,,,,
poudre à poudrer,livres poids,700,product_simplification,"parfumerie poudre à poudrer, poudre à poudrer",46,0,0,"0,2-0,6","1780,1788, 1789","0,45",315,,,,,
liqueurs,pintes,18,product_simplification,"liqueurs, liqueurs diverses, liqueurs en sirop fin, liqueurs en jus de citron, liqueurs de sirop, liqueurs de côte-rôtie",25,0,0,1-5,"1788, 1789",2,316,,,,,
mousseline,livre tournois,,,,,,,,,,45860,,,Varia dans datasprint,,
mousseline des Indes,livre tournois,,,,,,,,,,10800,,,Varia dans datasprint,,
mousselines et mouchoirs,livre tournois,,,,,,,,,,48000,,,Varia dans datasprint,,
mouchoirs de mousselin,livres sterling,,,,,,,,,,5500,,,Varia dans datasprint,220 lt dans la source,1 £ sterling = 25 lt
mouchoirs de soie,livres tournois,,,,,,,,,,4300,,,Varia dans datasprint,,
bandanoes,livres tournois,,,,,,,,,,26000,,,Varia dans datasprint,,
soie et mousseline,livres tournois,,,,,,,,,,3600,,,Varia dans datasprint,,
marchandises des Indes,livres tournois,,,,,,,,,,43200,,,Varia dans datasprint,,
cambray,livres tournois,,,,,,,,,,6720,,,Varia dans datasprint,,
cambray,livres sterling,,,,,,,,,,19500,,,Varia dans datasprint,780 lt dans la source,1 £ sterling = 25 lt
nacres de perles,livres tournois,,,,,,,,,,480,,,Varia dans datasprint,,
porcelaine,livres tournois,,,,,,,,,,720,,,Varia dans datasprint,,
total,,,,,,,,,,,"2755608,77",,,,,
